N,USR
18.442307692307697, 0.0651963746223565
19.11538461538461, 0.06211480362537765
22.211538461538456, 0.062296072507552876
15.88461538461538, 0.060302114803625385
16.019230769230766, 0.05486404833836858
21.40384615384615, 0.05468277945619336
28.269230769230756, 0.05722054380664653
31.230769230769223, 0.05794561933534744
29.211538461538456, 0.05450151057401813
26.384615384615387, 0.05540785498489427
25.98076923076923, 0.05413897280966769
23.01923076923077, 0.04978851963746224
21.40384615384615, 0.04797583081570998
31.63461538461538, 0.051963746223564956
30.826923076923066, 0.04996978851963746
27.0576923076923, 0.04435045317220544
26.115384615384617, 0.04416918429003022
30.826923076923066, 0.04416918429003022
32.57692307692308, 0.040181268882175235
30.826923076923066, 0.04036253776435047
33.65384615384615, 0.03202416918429003
40.25, 0.033655589123867076
43.34615384615384, 0.033111782477341395
38.499999999999986, 0.03764350453172206
38.3653846153846, 0.04054380664652569
38.3653846153846, 0.044712990936555896
38.3653846153846, 0.046344410876132926
40.519230769230774, 0.04851963746223566
40.519230769230774, 0.04489425981873112
40.78846153846154, 0.04290030211480364
45.49999999999999, 0.0419939577039275
44.423076923076906, 0.043806646525679754
43.74999999999999, 0.04489425981873112
45.365384615384606, 0.04779456193353475
48.59615384615385, 0.04851963746223566
50.34615384615384, 0.04797583081570998
49.13461538461537, 0.04561933534743203
50.34615384615384, 0.045438066465256804
49.13461538461537, 0.04398791540785499
51.826923076923066, 0.04525679758308158
53.038461538461526, 0.04489425981873112
49.942307692307686, 0.04290030211480364
52.634615384615365, 0.04090634441087613
53.576923076923066, 0.04253776435045317
55.59615384615383, 0.036374622356495474
55.46153846153845, 0.04489425981873112
55.73076923076922, 0.046706948640483394
57.615384615384606, 0.045981873111782486
60.44230769230767, 0.045075528700906344
67.57692307692307, 0.04489425981873112
